Name,Location,Beschreibung,Kategorie,Viertel,Google_Maps_Suche,Import_Status,Pruefstatus,id
PPEUM Global (Myeongdong),"84 Namdaemun-ro, 3-5F, Jung-gu, Seoul, South Korea","Google 4.7 bei 2617 Bewertungen · Preisniveau ₩ · Rock-bottom event pricing, fast efficient chain, multilingual · Famous event prices: Rejuran Healer 2cc + Derma Shine ~US$72, Ulth",Treatments,Myeongdong,https://www.google.com/maps/search/?api=1&query=PPEUM%20Global%20%28Myeongdong%29%2084%20Namdaemun-ro%2C%203-5F%2C%20Jung-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,cl03
Pria clinic,"349 Gangnam-daero, Woonam Building 13-14F, Seocho-gu, Seoul, South Korea",Aus eurer Excel-Liste.,Treatments,Seoul,https://www.google.com/maps/search/?api=1&query=Pria%20clinic%20349%20Gangnam-daero%2C%20Woonam%20Building%2013-14F%2C%20Seocho-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,xl27
Repic Clinic,"318 Gangnam-daero, B1 & 2F, Gangnam-gu, Seoul, South Korea",Aus eurer Liste. Website: https://www.repicclinic.com/en/about,Treatments,Seoul,https://www.google.com/maps/search/?api=1&query=Repic%20Clinic%20318%20Gangnam-daero%2C%20B1%20%26%202F%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl35
Soonsiki,"29 Wausan-ro 21-gil, Mapo-gu, Seoul, South Korea",Aus eurer Excel-Liste.,Treatments,Hongdae,https://www.google.com/maps/search/?api=1&query=Soonsiki%2029%20Wausan-ro%2021-gil%2C%20Mapo-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl17
Spa Lei (women only),"5 Gangnam-daero 107-gil, Seocho-gu, Seoul, South Korea",Aus eurer Excel-Liste.,Treatments,Seoul,https://www.google.com/maps/search/?api=1&query=Spa%20Lei%20%28women%20only%29%205%20Gangnam-daero%20107-gil%2C%20Seocho-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl36
Sparex Dongdaemu,"247 Jangchungdan-ro, Jung-gu, Seoul, South Korea",Aus eurer Excel-Liste.,Treatments,Seoul,https://www.google.com/maps/search/?api=1&query=Sparex%20Dongdaemu%20247%20Jangchungdan-ro%2C%20Jung-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl37
Star Spa & Fitness 스타스파앤휘트니스,"11-43 Siheung-daero 152-gil, B201, Geumcheon-gu, Seoul, South Korea","200 Pyeong DRAX-Fitnessbereich plus 400 Pyeong Sauna mit japanischem Hinoki-Bad, Warm- und Kaltbecken.",Treatments,Geumcheon,https://www.google.com/maps/search/?api=1&query=Star%20Spa%20%26%20Fitness%20%EC%8A%A4%ED%83%80%EC%8A%A4%ED%8C%8C%EC%95%A4%ED%9C%98%ED%8A%B8%EB%8B%88%EC%8A%A4%2011-43%20Siheung-daero%20152-gil%2C%20B201%2C%20Geumcheon-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,star
The Decode 더 디코드,"5-2 Apgujeong-ro 46-gil, B2, Gangnam-gu, Seoul, South Korea","160 Pyeong: Hyrox, Weights, Yoga und Ballett kombiniert mit Regeneration.",Treatments,Apgujeong,https://www.google.com/maps/search/?api=1&query=The%20Decode%20%EB%8D%94%20%EB%94%94%EC%BD%94%EB%93%9C%205-2%20Apgujeong-ro%2046-gil%2C%20B2%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,deco
The Heal Dermatology (Sinsa),"652 Gangnam-daero, 1F, Gangnam-gu, Seoul, South Korea","Google 5.0 bei 416 Bewertungen · Preisniveau ₩₩–₩₩₩ · Best boutique experience on your list — private rooms, superb interpreters · Transparent per-treatment prices in consult; prem",Treatments,Sinsa,https://www.google.com/maps/search/?api=1&query=The%20Heal%20Dermatology%20%28Sinsa%29%20652%20Gangnam-daero%2C%201F%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,cl15
Timeless Dermatology (Mapo/Sinchon),"16 Sinchon-ro 33-gil, 2F, Seodaemun-gu, Seoul, South Korea",Google 5.0 bei 674 Bewertungen · Preisniveau ₩₩ · Dermatologist-led care between Hongdae & city center; EN/CN support · Fair local pricing; Thermage + Ulthera + brightening combos;,Treatments,Sinchon,https://www.google.com/maps/search/?api=1&query=Timeless%20Dermatology%20%28Mapo/Sinchon%29%2016%20Sinchon-ro%2033-gil%2C%202F%2C%20Seodaemun-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,cl11
titanium lifting Amred Clinic,"731 Samseong-ro, Cheongdam-dong, Gangnam-gu, Seoul, South Korea","Aus eurer Excel-Liste. · Aus TikTok: Hautklinik, zu der laut Post K-Pop-Idols gehen. Tipp aus dem Video: App „UNNI / Gangnam Unni“ auf Englisch installieren, dort stehen echte Bewe",Treatments,Seoul,https://www.google.com/maps/search/?api=1&query=titanium%20lifting%20Amred%20Clinic%20731%20Samseong-ro%2C%20Cheongdam-dong%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl21
Toxnfill (Gangnam),"415 Gangnam-daero, Daedong Building 8F, 10F, 11F, Seocho-gu, Seoul, South Korea","Google 4.9 bei 3760 Bewertungen · Preisniveau ₩ · Budget Botox, fillers, skin boosters with transparent quotes · All prices published on website (eng.toxnfill1.com); known for chea",Treatments,Gangnam Stn,https://www.google.com/maps/search/?api=1&query=Toxnfill%20%28Gangnam%29%20415%20Gangnam-daero%2C%20Daedong%20Building%208F%2C%2010F%2C%2011F%2C%20Seocho-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,cl01
Toxnfill (Myeongdong),"84 Namdaemun-ro, Hyde Park 8F, Jung-gu, Seoul, South Korea",Google 4.7 bei 1006 Bewertungen · Preisniveau ₩ · Last-minute Botox/fillers while sightseeing in Myeongdong · Transparent quotes for injectables & basic skincare; great-price feedb,Treatments,Myeongdong,https://www.google.com/maps/search/?api=1&query=Toxnfill%20%28Myeongdong%29%2084%20Namdaemun-ro%2C%20Hyde%20Park%208F%2C%20Jung-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,cl12
Well & Fitness 웰앤피트니스,"563 Eonju-ro, B1 One Edition Gangnam, Gangnam-gu, Seoul, South Korea","600 Pyeong mit italienischen Technogym-Geräten, Sauna im Hotelstil und Powder Room.",Treatments,Gangnam,https://www.google.com/maps/search/?api=1&query=Well%20%26%20Fitness%20%EC%9B%B0%EC%95%A4%ED%94%BC%ED%8A%B8%EB%8B%88%EC%8A%A4%20563%20Eonju-ro%2C%20B1%20One%20Edition%20Gangnam%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,well
Wellness Museum 웰니스 뮤지엄 약국,"33-2 Gyedong-gil, 1F-2F, Jongno-gu, Seoul, South Korea","Moderne K-Apotheke im Hanok-Viertel: kuratierte Skincare, Beratung durch Apotheker, Fußbäder und Tee-Lounge. 4 Min ab Anguk Station Exit 3.",Treatments,Bukchon,https://www.google.com/maps/search/?api=1&query=Wellness%20Museum%20%EC%9B%B0%EB%8B%88%EC%8A%A4%20%EB%AE%A4%EC%A7%80%EC%97%84%20%EC%95%BD%EA%B5%AD%2033-2%20Gyedong-gil%2C%201F-2F%2C%20Jongno-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,wmus
Woosun,"122-9 Cheongdam-dong, Gangnam-gu, Seoul, South Korea",Hair- und Make-up-Studio aus dem K-Idol-Look-Guide.,Treatments,Seoul,https://www.google.com/maps/search/?api=1&query=Woosun%20122-9%20Cheongdam-dong%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,woos
